Pyridoxal phosphate  CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O  DB00114  https://go.drugbank.com/drugs/DB00114  approved; investigational; nutraceutical  -636.903
Ademetionine  C[S+](CC[C@H](N)C([O-])=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N  DB00118  https://go.drugbank.com/drugs/DB00118  approved; investigational; nutraceutical  -635.53
Pyruvic acid  CC(=O)C(O)=O  DB00119  https://go.drugbank.com/drugs/DB00119  approved; investigational; nutraceutical  -710.551
Phenylalanine  N[C@@H](CC1=CC=CC=C1)C(O)=O  DB00120  https://go.drugbank.com/drugs/DB00120  approved; investigational; nutraceutical  -716.026
Biotin  [H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2  DB00121  https://go.drugbank.com/drugs/DB00121  approved; investigational; nutraceutical  -710.993
Choline  C[N+](C)(C)CCO  DB00122  https://go.drugbank.com/drugs/DB00122  approved; nutraceutical  -700.645
L-Lysine  NCCCC[C@H](N)C(O)=O  DB00123  https://go.drugbank.com/drugs/DB00123  approved; nutraceutical  -629.73
Ascorbic acid  [H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO  DB00126  https://go.drugbank.com/drugs/DB00126  approved; nutraceutical  -651.99
Aspartic acid  N[C@@H](CC(O)=O)C(O)=O  DB00128  https://go.drugbank.com/drugs/DB00128  approved; nutraceutical  -659.343
Ornithine  NCCC[C@H](N)C(O)=O  DB00129  https://go.drugbank.com/drugs/DB00129  approved; nutraceutical  -661.089
L-Glutamine  N[C@@H](CCC(N)=O)C(O)=O  DB00130  https://go.drugbank.com/drugs/DB00130  approved; investigational; nutraceutical  -624.174
Adenosine phosphate  NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1  DB00131  https://go.drugbank.com/drugs/DB00131  approved; investigational; nutraceutical  -629.956
alpha-Linolenic acid  CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O  DB00132  https://go.drugbank.com/drugs/DB00132  approved; investigational; nutraceutical  -627.724
Methionine  CSCC[C@H](N)C(O)=O  DB00134  https://go.drugbank.com/drugs/DB00134  approved; nutraceutical  -661.009
Tyrosine  [H][C@](N)(CC1=CC=C(O)C=C1)C(O)=O  DB00135  https://go.drugbank.com/drugs/DB00135  approved; investigational; nutraceutical  -633.486
Calcitriol  C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C  DB00136  https://go.drugbank.com/drugs/DB00136  approved; nutraceutical  -642.16
Lutein  C\C(\C=C\C=C(/C)\C=C\[C@H]1C(C)=C[C@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C  DB00137  https://go.drugbank.com/drugs/DB00137  approved; investigational; nutraceutical  -639.788
Cystine  N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O  DB00138  https://go.drugbank.com/drugs/DB00138  approved; nutraceutical  -651.044
Succinic acid  OC(=O)CCC(O)=O  DB00139  https://go.drugbank.com/drugs/DB00139  approved; nutraceutical  -622.199
Riboflavin  CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1  DB00140  https://go.drugbank.com/drugs/DB00140  approved; investigational; nutraceutical; vet_approved  -694.356
N-Acetylglucosamine  [H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO  DB00141  https://go.drugbank.com/drugs/DB00141  approved; investigational; nutraceutical  -639.273
Glutamic acid  N[C@@H](CCC(O)=O)C(O)=O  DB00142  https://go.drugbank.com/drugs/DB00142  approved; nutraceutical  -650.621
Glutathione  [H][C@](N)(CCC(O)=N[C@@]([H])(CS)C(O)=NCC(O)=O)C(O)=O  DB00143  https://go.drugbank.com/drugs/DB00143  approved; investigational; nutraceutical  -626.436
Glycine  NCC(O)=O  DB00145  https://go.drugbank.com/drugs/DB00145  approved; nutraceutical; vet_approved  -654.087
Calcifediol  C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C  DB00146  https://go.drugbank.com/drugs/DB00146  approved; nutraceutical  -639.129
Creatine  CN(CC(O)=O)C(N)=N  DB00148  https://go.drugbank.com/drugs/DB00148  approved; investigational; nutraceutical  -620.39
Tryptophan  N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O  DB00150  https://go.drugbank.com/drugs/DB00150  approved; nutraceutical; withdrawn  -635.008
Cysteine  N[C@@H](CS)C(O)=O  DB00151  https://go.drugbank.com/drugs/DB00151  approved; nutraceutical  -604.176
Thiamine  CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N  DB00152  https://go.drugbank.com/drugs/DB00152  approved; investigational; nutraceutical; vet_approved  -636.048
Ergocalciferol  CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C  DB00153  https://go.drugbank.com/drugs/DB00153  approved; nutraceutical  -526.43
Threonine  C[C@@H](O)[C@H](N)C(O)=O  DB00156  https://go.drugbank.com/drugs/DB00156  approved; nutraceutical  -631.973
NADH  NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O  DB00157  https://go.drugbank.com/drugs/DB00157  approved; nutraceutical  -622.796
Folic acid  NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1  DB00158  https://go.drugbank.com/drugs/DB00158  approved; nutraceutical; vet_approved  -643.245
Icosapent  CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O  DB00159  https://go.drugbank.com/drugs/DB00159  approved; nutraceutical  -694.162
Valine  CC(C)[C@H](N)C(O)=O  DB00161  https://go.drugbank.com/drugs/DB00161  approved; nutraceutical  -642.681
Vitamin A  C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C  DB00162  https://go.drugbank.com/drugs/DB00162  approved; nutraceutical; vet_approved  -566.668
Vitamin E  CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C  DB00163  https://go.drugbank.com/drugs/DB00163  approved; nutraceutical; vet_approved  -640.167
Pyridoxine  CC1=C(O)C(CO)=C(CO)C=N1  DB00165  https://go.drugbank.com/drugs/DB00165  approved; investigational; nutraceutical; vet_approved  -632.014
Lipoic acid  OC(=O)CCCC[C@@H]1CCSS1  DB00166  https://go.drugbank.com/drugs/DB00166  approved; investigational; nutraceutical  -638.122
Cholecalciferol  CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C  DB00169  https://go.drugbank.com/drugs/DB00169  approved; nutraceutical  -644.87
Menadione  CC1=CC(=O)C2=CC=CC=C2C1=O  DB00170  https://go.drugbank.com/drugs/DB00170  approved; nutraceutical  -663.747
Adenine  NC1=C2NC=NC2=NC=N1  DB00173  https://go.drugbank.com/drugs/DB00173  approved; nutraceutical  -655.55
Asparagine  N[C@@H](CC(N)=O)C(O)=O  DB00174  https://go.drugbank.com/drugs/DB00174  approved; investigational; nutraceutical  -650.434
Pravastatin  [H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC  DB00175  https://go.drugbank.com/drugs/DB00175  approved  -528.511
Fluvoxamine  COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F  DB00176  https://go.drugbank.com/drugs/DB00176  approved; investigational  -629.055
Valsartan  CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O  DB00177  https://go.drugbank.com/drugs/DB00177  approved; investigational  -457.593
Ramipril  [H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC  DB00178  https://go.drugbank.com/drugs/DB00178  approved  -385.562
Masoprocol  C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1  DB00179  https://go.drugbank.com/drugs/DB00179  approved; investigational  -632.715
